продолжаться|['детство', 'расширение', 'сказка', 'солнце', 'парус', 'поддержка', 'развитие', 'жизнь']
оказаться|['забота', 'мама', 'область', 'инвалид', 'ситуация', 'украина', 'младенец', 'гражданин', 'г', 'улица', 'москва', 'подросток', 'женщина', 'лицо', 'семья', 'человек', 'ребёнок']
настать|['время']
помогать|['доброволец', 'вода', 'здоровье', 'вместе', 'пространство', 'инвалидность', 'медиашколапериферия', 'экопрактика', 'город', 'самопомощь', 'анна', 'вичинфекция', 'волонтерство', 'оказание', 'туhалнаб', 'дело', 'исскуство', 'вещь', 'создание', 'природа', 'трудно', 'сердце', 'развитие', 'сервис', 'беженец', 'глина', 'животное', 'сфера', 'бабушка', 'регион', 'молодёжь', 'мама', 'женщина', 'врач', 'друг', 'человек', 'профессия', 'специалист', 'время']
проходить|['пациент', 'кровь', 'событие', 'детейинвалид', 'территория', 'человек', 'ребёнок', 'лечение']
открыть|['школа', 'небо', 'спектр', 'аутизм', 'памятник', 'белгородчин', 'занятость', 'доступ', 'центр', 'художник', 'мир']
стирать|['барьер', 'миргород', 'гто', 'расстояние', 'казахстан', 'грань', 'квн', 'практика', 'граница']
строить|['ребёнок', 'традиция', 'кибатлетика', 'молодёжь', 'дзюдо', 'прошлое', 'мир', 'технология', 'карелия', 'граница', 'вместе', 'мост', 'будущее']
покинуть|['наследие', 'донбасс', 'родина', 'гражданин', 'украина', 'вынужденно', 'территория']
проживать|['совместно', 'область', 'молодёжь', 'украина', 'общежитие', 'опекун', 'удмуртия', 'гражданин', 'инвалид', 'помощь', 'патология', 'семья', 'национальность', 'развитие', 'речь', 'народ', 'раса', 'пенсионер', 'г', 'животное', 'здоровье', 'временно', 'жительство', 'ситуация', 'год', 'ребёнок', 'одиноко', 'лицо', 'подросток', 'инвалидность', 'город', 'пни', 'человек', 'территория']
прибыть|['подросток', 'санктп', 'проживание', 'чувашск', 'женщина', 'год', 'развитие', 'днр', 'терри', 'г', 'школьник', 'детейсирота', 'донбасс', 'помощь', 'возраст', 'ребёнок', 'лицо', 'украина', 'семья', 'гражданин', 'человек', 'территория']
снизить|['слух', 'гражданин']
освободить|['донбасс', 'победа', 'движение', 'население', 'территория']
включить|['детство', 'фантазия', 'свет', 'родитель']
пожаловать|['югра', 'жизнь', 'ориентирование', 'добро']
жить|['надежда', 'мочь', 'ветлуга', 'область', 'герой', 'бытьактивно', 'радостно', 'деревня', 'сад', 'комплекс', 'пока', 'донбасс', 'бытьдолго', 'рядом', 'мечта', 'вспять', 'профессия', 'укрепление', 'учитель', 'конкурсфестиваль', 'вичинфекция', 'семья', 'граница', 'лаборатория', 'полноценно', 'теремочек', 'лесопункт', 'весело', 'земля', 'создание', 'мужество', 'песня', 'война', 'уход', 'масштабирование', 'дорога', 'развитие', 'родник', 'достойно', 'долго', 'жизнь', 'искусство', 'выбор', 'стиль', 'добытчик', 'нарушение', 'клуб', 'иначе', 'лицо', 'обеспечение', 'край', 'россия', 'легенда', 'диагноз', 'счастие', 'здесь', 'поновое', 'век', 'интересно', 'женщина', 'память', 'мир', 'дружно', 'активно', 'право', 'ребёнок', 'вместе', 'где', 'дом', 'самостоятельно', 'время', 'вич', 'человек']
справиться|['covidкризис', 'vместо', 'вместе']
пострадать|['животное', 'человек', 'жертва', 'поиск', 'потеря', 'наиболее', 'детейинвалид', 'последствие', 'реабилитация', 'госпиталь', 'защита', 'женщина', 'период', 'насилие', 'результат', 'семья', 'пандемия', 'помощь', 'ребёнок']
гафурить|['многоцветие']
гордиться|['вологжанин', 'слава', 'проект', 'прошлое']
создать|['дело', 'мечта', 'организация', 'будущее', 'условие', 'прадедгерой', 'прошлое', 'помощь', 'война', 'диалог', 'моделист', 'радиопередача', 'ребёнок', 'родитель']
сделать|['доброволец', 'здоровье', 'подкаст', 'неваляшкин', 'реклама', 'школа', 'петербург', 'фильм', 'ставка', 'рука', 'могуй', 'семья', 'проект', 'мастерская', 'мир', 'музыка', 'бийск', 'сырьё', 'выбор', 'вместе', 'шаг']
приглашать|['нота', 'участие', 'гость', 'карелия', 'италмас']
