rows
name-AREA
жизнь/продолжается-Социальное обслуживание, социальная поддержка и защита граждан
центр/развития/социальных/компетенций-Развитие общественной дипломатии и поддержка соотечественников
вынужденные/переселенцы/помощь/всем/и/каждому-Социальное обслуживание, социальная поддержка и защита граждан
войти/в/it-Развитие общественной дипломатии и поддержка соотечественников
шаг/в/будущее-Социальное обслуживание, социальная поддержка и защита граждан
оптимизация/системы/оказания/неотложной/социальнобытовой/помощи/людям/оказавшимся/в/г/москве/без/крова/и/средств-Социальное обслуживание, социальная поддержка и защита граждан
инклюзивная/спортивная/суббота-Социальное обслуживание, социальная поддержка и защита граждан
просто/настало/время/помогать-Социальное обслуживание, социальная поддержка и защита граждан
уроки/русского-Социальное обслуживание, социальная поддержка и защита граждан
музыка//стихия/доброты-Социальное обслуживание, социальная поддержка и защита граждан
маманачас/-Социальное обслуживание, социальная поддержка и защита граждан
своих/не/бросаем-Социальное обслуживание, социальная поддержка и защита граждан
создание/условий/для/развития/нко/и/местных/сообществ/в/муниципальных/районах/лнр-Развитие общественной дипломатии и поддержка соотечественников
жизнь/продолжается/социальная/поддержка/малоимущих/семей/с/онкобольными/детьми/проходящими/лечение/в/онкоцентре/им/нн/блохина-Социальное обслуживание, социальная поддержка и защита граждан
сова/антикризисное/социальное/сопровождение/семей/в/сложной/жизненной/ситуации-Социальное обслуживание, социальная поддержка и защита граждан
вместе/мы/сильнее/поддержим/наших/добровольцевземляков/и/их/семьи-Социальное обслуживание, социальная поддержка и защита граждан
центр/открыть/мир//ресурсный/центр/помощи/людям/с/аутизмом/и/их/семьям-Социальное обслуживание, социальная поддержка и защита граждан
индивидуальное/социальное/и/юридическое/сопровождение/людей/без/дома-Социальное обслуживание, социальная поддержка и защита граждан
стираем/границы//строим/мосты-Развитие общественной дипломатии и поддержка соотечественников
/театр/без/границ-Социальное обслуживание, социальная поддержка и защита граждан
жизнь/продолжается-Социальное обслуживание, социальная поддержка и защита граждан
центр/развития/социальных/компетенций-Развитие общественной дипломатии и поддержка соотечественников
вынужденные/переселенцы/помощь/всем/и/каждому-Социальное обслуживание, социальная поддержка и защита граждан
войти/в/it-Развитие общественной дипломатии и поддержка соотечественников
шаг/в/будущее-Социальное обслуживание, социальная поддержка и защита граждан
оптимизация/системы/оказания/неотложной/социальнобытовой/помощи/людям/оказавшимся/в/г/москве/без/крова/и/средств-Социальное обслуживание, социальная поддержка и защита граждан
инклюзивная/спортивная/суббота-Социальное обслуживание, социальная поддержка и защита граждан
просто/настало/время/помогать-Социальное обслуживание, социальная поддержка и защита граждан
уроки/русского-Социальное обслуживание, социальная поддержка и защита граждан
музыка//стихия/доброты-Социальное обслуживание, социальная поддержка и защита граждан
маманачас/-Социальное обслуживание, социальная поддержка и защита граждан
своих/не/бросаем-Социальное обслуживание, социальная поддержка и защита граждан
создание/условий/для/развития/нко/и/местных/сообществ/в/муниципальных/районах/лнр-Развитие общественной дипломатии и поддержка соотечественников
жизнь/продолжается/социальная/поддержка/малоимущих/семей/с/онкобольными/детьми/проходящими/лечение/в/онкоцентре/им/нн/блохина-Социальное обслуживание, социальная поддержка и защита граждан
сова/антикризисное/социальное/сопровождение/семей/в/сложной/жизненной/ситуации-Социальное обслуживание, социальная поддержка и защита граждан
вместе/мы/сильнее/поддержим/наших/добровольцевземляков/и/их/семьи-Социальное обслуживание, социальная поддержка и защита граждан
центр/открыть/мир//ресурсный/центр/помощи/людям/с/аутизмом/и/их/семьям-Социальное обслуживание, социальная поддержка и защита граждан
индивидуальное/социальное/и/юридическое/сопровождение/людей/без/дома-Социальное обслуживание, социальная поддержка и защита граждан
стираем/границы//строим/мосты-Развитие общественной дипломатии и поддержка соотечественников
/театр/без/границ-Социальное обслуживание, социальная поддержка и защита граждан
сектор/интеграции-Развитие общественной дипломатии и поддержка соотечественников
азов//город/добра-Социальное обслуживание, социальная поддержка и защита граждан
консультативная/психологическая/и/психотерапевтическая/помощь/родителям/детейинвалидов/и/детей/с/овз/из/приграничных/к/донбассу/и/украине/территорий-Социальное обслуживание, социальная поддержка и защита граждан
